date,title,reactions,comments,linkedin_url
2026-02-04,YC application deadline — founder mindset (Stacksync story),83,9,https://www.linkedin.com/posts/ruben-burdin_the-yc-application-deadline-is-coming-up-activity-7424928731695333376-09Go
2026-01-13,I stopped trying to feel in control of my company,41,9,https://www.linkedin.com/posts/ruben-burdin_i-stopped-trying-to-feel-in-control-of-my-activity-7416869800661942272-qsE0
2026-01-09,There's a hierarchy that took us years to fully understand,27,5,https://www.linkedin.com/posts/ruben-burdin_theres-a-hierarchy-that-took-us-years-to-activity-7415499933346275328-SkzU
2026-01-05,The definition of a successful company,26,5,https://www.linkedin.com/posts/ruben-burdin_the-definition-of-a-successful-company-activity-7413973524555616256-80n1
2026-02-16,Junior means younger — senior means older — both broken,19,3,https://www.linkedin.com/posts/ruben-burdin_junior-means-younger-senior-means-older-share-7429304579370037248-B8Y_
2026-02-03,See you tomorrow (SuiteConnect teaser),0,0,https://www.linkedin.com/posts/ruben-burdin_netsuite-edi-ai-activity-7424569312905990144-SWyM
