rank,author,outlier_score,likes,comments,total_engagement,hook_type,topic,angle,structure,first_line,hook_150,full_text,url
79,Reshma Saujani,0.1,56,22,79,Teacher,Motherhood / Family,Thought Leadership,Hook -> Insight -> CTA,"In honor of #Halloween (my favorite holiday!), here’s a quick movie #history lesson for all the moms out there 🎃","In honor of #Halloween (my favorite holiday!), here’s a quick movie #history lesson for all the moms out there 🎃  In the 1970s, horror films had a hey","In honor of #Halloween (my favorite holiday!), here’s a quick movie #history lesson for all the moms out there 🎃

In the 1970s, horror films had a heyday exacerbating society’s newfound uneasiness about moms entering the workforce and outsourcing their care, and the babysitters who stepped in to fill the gap.

On my Substack this week, I took a look at the movies that showed all hell breaking loose the minute mom needed a break, and how moms are faring in horror movies today.

Let me know if you want me to send you the link! 😉",https://www.linkedin.com/posts/reshma-saujani_halloween-history-activity-7390067196342845441-q_ok?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
80,Reshma Saujani,0.1,68,7,76,Teacher,Motherhood / Family,Direct Advice,Hook -> List -> Insight,Did you know that Central Park didn't have a single monument to a real-life woman until 2020?,Did you know that Central Park didn't have a single monument to a real-life woman until 2020?  Most monuments celebrate a certain kind of power. Today,"Did you know that Central Park didn't have a single monument to a real-life woman until 2020?

Most monuments celebrate a certain kind of power. Today's My So-Called Midlife guest, artist and sculptor Molly Gochman, builds monuments to something else entirely: the invisible labor, and invisible women, holding the world together. Her larger-than-life tribute to caregiving, 'Monuments to Motherhood,' is on view in Prospect Park through May 2026.

Listen to my full conversation with Molly on My So-Called Midlife this week!",https://www.linkedin.com/posts/reshma-saujani_did-you-know-that-central-park-didnt-have-activity-7391841206953213952-pWEa?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
81,Reshma Saujani,0.1,64,5,74,Teacher,Leadership,Thought Leadership,Observation -> Question,“Where is society going when everybody becomes an expert on themselves?”,"“Where is society going when everybody becomes an expert on themselves?”  Esther Perel explains why she believes it's time to re-create our village, o","“Where is society going when everybody becomes an expert on themselves?”

Esther Perel explains why she believes it's time to re-create our village, or something that is more apart and together at the same time.

Excited to have world-renowned psychotherapist, Esther Perel, on My So-Called Midlife this week!

Can't get enough? Listen to Esther's podcast, 'Where Should We Begin?' and subscribe to her new publication, Entre Nous, on Substack.",https://www.linkedin.com/posts/reshma-saujani_where-is-society-going-when-everybody-becomes-activity-7404934816455995393-xJJK?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADQ_LHkB2V_Pv_5w1EehW46rK8xbW3kA2r8
82,Reshma Saujani,0.1,65,5,70,Teacher,Women in Leadership,Thought Leadership,Hook -> Punch Line,"I’m deeply grateful for Tarika Barrett, Ph.D.","I’m deeply grateful for Tarika Barrett, Ph.D.   Throughout her tenure as Girls Who Code CEO, she navigated a rapidly evolving tech landscape with visi","I’m deeply grateful for Tarika Barrett, Ph.D. 

Throughout her tenure as Girls Who Code CEO, she navigated a rapidly evolving tech landscape with vision and determination. From launching our Pathways program to creating an innovative AI curriculum that has served over 70,000 students, Tarika strengthened the sisterhood that defines this organization. She is an incredible role model and her work with GWC will have an enduring impact on generations of girls.",https://www.linkedin.com/posts/reshma-saujani_turning-the-page-to-a-new-year-invites-both-activity-7416861392361877504-RFXN?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7gKtAB2g4oHA8yJY0VljOb7bPdVFl3jU4
83,Reshma Saujani,0.1,66,4,70,Teacher,Motherhood / Family,Direct Advice,Hook -> Punch Line,"I’m pressing pause on this Moms & Work LinkedIn newsletter, but not on the work. If you care about building a country that supports moms, here’s where you can stay connected and take action with me:","I’m pressing pause on this Moms & Work LinkedIn newsletter, but not on the work. If you care about building a country that supports moms, here’s where","I’m pressing pause on this Moms & Work LinkedIn newsletter, but not on the work. If you care about building a country that supports moms, here’s where you can stay connected and take action with me:",https://www.linkedin.com/posts/reshma-saujani_im-pressing-pause-on-this-moms-work-linkedin-activity-7401260253071450112-78Yu?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoXFi4BOC_D0RsY3wMeWnzL1IKWa8miWCk
84,Reshma Saujani,0.1,62,4,68,Teacher,Motherhood / Family,Thought Leadership,Hook -> Punch Line,TODAY @ 7PM ET / 6pm CT / 4pm PT,"TODAY @ 7PM ET / 6pm CT / 4pm PT  For anyone who can’t make it, there will be a recording available to watch after.  We’ll be talking about the pushba","TODAY @ 7PM ET / 6pm CT / 4pm PT

For anyone who can’t make it, there will be a recording available to watch after.

We’ll be talking about the pushback when moms speak out AND what the hell we can do as women and moms to support the people of Minnesota.

All are welcome.

Join us here ➡️  https://lnkd.in/e9QCJZax

In the meantime, head to StandWithMinnesota.com for resources to support our friends in MN!",https://www.linkedin.com/posts/reshma-saujani_today-7pm-et-6pm-ct-4pm-pt-for-anyone-activity-7421666367667433472-RTvy?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
85,Reshma Saujani,0.1,61,4,68,Teacher,Philanthropy / Cause,Direct Advice,Hook -> Insight -> CTA,"Nearly 9,000 of you signed up to join “Motherhood Live” to talk about what the hell is going on, and what we can do about it. The energy on the call was next level.","Nearly 9,000 of you signed up to join “Motherhood Live” to talk about what the hell is going on, and what we can do about it. The energy on the call w","Nearly 9,000 of you signed up to join “Motherhood Live” to talk about what the hell is going on, and what we can do about it. The energy on the call was next level.

No one is coming to save us. But moms can save this country.

If you missed it or if you just want to watch it again, the full recording is now up on the Moms First YouTube.

For resources to support our friends in MN, head here ➡️ StandWithMinnesota.com

https://lnkd.in/efbSxivX",https://www.linkedin.com/posts/reshma-saujani_motherhood-live-the-wine-mom-label-other-activity-7421954398483918850-8M3z?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEIWbD0BJKrG7iRdUpFYZAC3-9q6QhxhwOY
86,Reshma Saujani,0.1,59,7,67,Teacher,Leadership,Thought Leadership,Hook -> Punch Line,I asked Rha Goddess what’s one question every woman in midlife should ask herself.,I asked Rha Goddess what’s one question every woman in midlife should ask herself.  Her answer kind of blew my mind.  This week’s episode of My So-Cal,"I asked Rha Goddess what’s one question every woman in midlife should ask herself.

Her answer kind of blew my mind.

This week’s episode of My So-Called Midlife is all about intentional ambition. Listen to it wherever your favorite podcasts are found!

https://lnkd.in/gjqRQMqT",https://www.linkedin.com/posts/reshma-saujani_i-askedrha-goddesswhats-one-question-every-activity-7429989566079504385-CZWj?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEIWbD0BJKrG7iRdUpFYZAC3-9q6QhxhwOY
87,Reshma Saujani,0.1,58,0,60,Teacher,Motherhood / Family,Thought Leadership,Observation -> Question,"Esther Perel explains why so many divorces happen in midlife, or in the third year of marriage.","Esther Perel explains why so many divorces happen in midlife, or in the third year of marriage.  This week’s episode of My So-Called Midlife is with w","Esther Perel explains why so many divorces happen in midlife, or in the third year of marriage.

This week’s episode of My So-Called Midlife is with world-renowned psychotherapist, Esther Perel!

As always, let me know what you think. 🤔 

Can’t get enough? Listen to Esther’s podcast, Where Should We Begin?, and subscribe to her new publication, Entre Nous, on Substack.",https://www.linkedin.com/posts/reshma-saujani_esther-perelexplains-why-so-many-divorces-activity-7405657520444297217-X_0H?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADQ_LHkB2V_Pv_5w1EehW46rK8xbW3kA2r8
88,Reshma Saujani,0.1,53,6,59,Fortune Teller,Leadership,Future Prediction,Hook -> Insight -> CTA,So excited to have Tembi Locke on My So-Called Midlife this week!,"So excited to have Tembi Locke on My So-Called Midlife this week!  Tembi has lived many lives, but midlife has pushed her to introduce herself in a wh","So excited to have Tembi Locke on My So-Called Midlife this week!

Tembi has lived many lives, but midlife has pushed her to introduce herself in a whole new way. We talked about grief as a turning point, pulling yourself forward, and the idea of renesting (Tembi’s practice of rebuilding an inner home after life has blown the old one apart).

Let me know what you think of the episode! Can't get enough of Tembi? Her new memoir, Someday, Now, is out now.",https://www.linkedin.com/posts/reshma-saujani_so-excited-to-have-tembi-locke-on-my-so-called-activity-7402766045079576576-BP7s?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFoXFi4BOC_D0RsY3wMeWnzL1IKWa8miWCk
