authorName,authorProfileId,postedAtISO,numLikes,numComments,numShares,type,text,url
Reshma Saujani,reshma-saujani,2025-11-03T19:54:13.173Z,979,18,25,image,"New Mexico got sh*t done. Where do you want to see free child care come to next?

Pretty much the rest of the world prioritizes child care. It's past time for the U.S. get on board. If New Mexico can make it happen, so can your state.

If you’re fed up with the cost of child care, elder care, and the lack of support for our caregivers, join the Moms First movement!!!!",https://www.linkedin.com/posts/reshma-saujani_new-mexico-got-sht-done-where-do-you-want-activity-7391201054102814721-8xm8?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2026-02-19T21:08:36.788Z,780,76,57,image,"This should be a wakeup call.

The federal government is now targeting women’s networking events as part of their “war on DEI.”

It’s because they’re afraid.

They’re afraid of what happens when a group of women get together in the same room. We plot. We talk about how can build a better future for all of us. How we can work together to win child care, to win paid family leave, to build a country in which all of us can thrive.

And they’re scared of us.

Let’s be crystal clear: Reversing women’s progress in the workforce — by dismantling DEI, or otherwise — will do absolutely nothing to help the vast majority of men.

Men today are being sold a con: that progress is zero-sum. That when women rise, men have to fall. That when people of color get a shot, white people lose theirs. And that’s just not true.

Progress is not zero sum. 👏",https://www.linkedin.com/posts/reshma-saujani_this-should-be-a-wakeup-call-the-federal-activity-7430357665345785856-wnMm?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAEIWbD0BJKrG7iRdUpFYZAC3-9q6QhxhwOY
Reshma Saujani,reshma-saujani,2026-01-02T01:01:44.665Z,784,30,19,image,"My ins & outs for 2026. Let’s do this 👊🏼

cc Moms First",https://www.linkedin.com/posts/reshma-saujani_my-ins-outs-for-2026-lets-do-this-activity-7412659329339691008-stIE?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAABXWSDsBRDKBdVxCmXW6KbToEUrvJQ3rCTs
Reshma Saujani,reshma-saujani,2025-10-20T20:14:49.228Z,787,26,10,image,"Ok, these girls rock!!!! 👊

""Gupta said the club's meetings have become a place where students form friendships around stories that challenge them to think critically.

'Books can help bring us together. I like that our club does that for people.'""",https://www.linkedin.com/posts/reshma-saujani_ok-these-girls-rock-gupta-said-activity-7386132808374730752-wmvz?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADpvVoYBUx2AZFR---ZdAR9LHeZnQHPr4i4
Reshma Saujani,reshma-saujani,2025-11-04T18:05:33.765Z,663,123,64,linkedinVideo,"Imposter syndrome is a lie. And for all the history nerds out there, here's one of my favorite history lessons to break it all down!

Recently, during my conversation at Harvey Mudd College to discuss the crisis of disconnection, someone in the audience asked me for advice on how women can overcome imposter syndrome.

If you've been following me for a while, you might know that that's a question people ask me all the time. And in fact, I gave a whole graduation speech about it at Smith College! The thing is, it's sort of a trick question. Because to me, the best way to overcome ""imposter syndrome"" is to recognize that it's all a lie in the first place! It doesn't mean that your feelings aren't valid. But it does require seeing it for the myth that it is. Imposter syndrome, like bicycle face before it, is another tactic to dissuade women from making progress.

The next time someone with power tries to make you feel like you didn't earn your seat at the table, remember that that's all a strategy.",https://www.linkedin.com/posts/reshma-saujani_imposter-syndrome-is-a-lie-and-for-all-the-activity-7391536097589153793-iNjy?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2025-11-24T18:17:24.789Z,744,39,47,linkedinVideo,"Why is the school day 8:30 to 3 and the work day 9 to 5?

But go on, keep blaming women for ruining the workplace. 🙃
.
.
.
(Video: Aspen Ideas 2024 panel, The Dilemma of Modern Parenting)",https://www.linkedin.com/posts/reshma-saujani_why-is-the-school-day-830-to-3-and-the-work-activity-7398786837151981568-OL6K?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8g_d4BGgZxQ4CpVaBEYFZUA5xzoL9hj_I
Reshma Saujani,reshma-saujani,2025-11-09T15:32:00.661Z,676,34,29,linkedinVideo,"Some of you may have seen the New York Times headline — ""Did Women Ruin the Workplace?""

Once again, stop trying to blame feminism and women for our broken systems. Women didn’t “ruin” the workplace. It’s ALWAYS been broken.
.
.
.
(Video: Old but relevant 🙃)",https://www.linkedin.com/posts/reshma-saujani_some-of-you-may-have-seen-the-new-york-times-activity-7393309394358173698-2c_V?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2025-12-30T19:45:26.214Z,663,31,0,image,"So, 2025 was a doozy. I felt like I spent so much of this year in battle. To push people and organizations to do the right thing. To give voice to issues that affect women, girls and families. With my inner critic to stop being so hard on myself. And if I'm being honest, all of this outer and inner conflict has left me exhausted. I feel like I am crawling into 2026. I always say that bravery doesn’t feel good. It’s actually lonely and isolating. The same is true for deep introspection. And I felt that deeply this year. So this holiday, I am so grateful we staycationed. I've slept. I've meditated. I've prayed. I've played chess with Sai. Crosswords with Shaan. Rotted on the couch with Nihal. And cuddled with Steve. And while I am not fully recovered to do it all again in 2026, because let’s be honest, we got a lot more battling to do... I've gotten some perspective back that I lost. That the universe does bend towards justice if we make it. That rest is key. That a five-year-old continually beating you in chess is the most humbling thing (and the best healing) you can ask for. Thank you 2025 for all the teachings.",https://www.linkedin.com/posts/reshma-saujani_so-2025-was-a-doozy-i-felt-like-i-spent-activity-7411854952215724032-4TDe?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE2a-BEBl09j2DeKHhRpFDkwRhKN70r29bw
Reshma Saujani,reshma-saujani,2025-11-10T17:44:55.340Z,662,29,42,image,"No, women didn’t “ruin” the workplace. We just finally asked it to work for all of us.

On my Substack today, I did a deep dive into *that* New York Times interview.

As always, let me know what you think! I'll share the link in my comments if you're up for reading it. 😉",https://www.linkedin.com/posts/reshma-saujani_no-women-didnt-ruin-the-workplace-we-activity-7393705230451986432-rqYJ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2026-01-08T19:57:06.758Z,656,26,31,linkedinVideo,"Moms, look what we did!!!!!!!!!!!

Today, Governor Hochul and Mayor Mamdani announced:

✅ Free child care for 2-year-olds in NYC
✅ Universal Pre-K for 4-year-olds across New York State

And we’re just getting started.

Join our Moms First community if you’re ready to win affordable child care across the U.S. 👊

Drop a comment with where you want to see universal child care come to next!!!",https://www.linkedin.com/posts/reshma-saujani_moms-look-what-we-did-today-activity-7415119381300715522-u0f4?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7gKtAB2g4oHA8yJY0VljOb7bPdVFl3jU4
Reshma Saujani,reshma-saujani,2026-01-15T04:06:46.877Z,619,37,21,image,"Another win for child care!!!

From New York to SF, our message is spreading: America’s parents are fed up with child care costs. Affordable, accessible, high-quality child care is the way forward!!!!

Drop a comment with where you want to see universal child care come to next 👊

cc Moms First",https://www.linkedin.com/posts/reshma-saujani_another-win-for-child-care-from-new-york-activity-7417416937644777472-18nb?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2025-11-11T22:14:46.636Z,590,48,45,linkedinVideo,"Discussing the state of motherhood today with Steven Bartlett back when he had me on Diary of a CEO to talk about my book, Pay Up, and building Moms First.

Moms, let me know if this resonates ❤️
.
.
.
📺: The Diary of a CEO with Steven Bartlett",https://www.linkedin.com/posts/reshma-saujani_discussing-the-state-of-motherhood-today-activity-7394135529534943233-jn4O?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8g_d4BGgZxQ4CpVaBEYFZUA5xzoL9hj_I
Reshma Saujani,reshma-saujani,2026-01-15T14:32:14.923Z,561,53,49,image,"It's true: nearly all the job losses in last month's jobs report were women.

And it shouldn't take a PhD in economics to figure out some of the reasons why.

The cost of child care is too damn high!

It's not that women are suddenly deciding to quit their jobs. They're being forced out!

Because when child care costs more than your mortgage, someone is forced to step back. And in America, that ""someone"" is still almost always the mom...

That's why we need the public AND the private sector to treat child care like the economic imperative that it is.

My organization, Moms First, is working to fix this. And we'd love for you to join us!

Thank you to Holly Corbett for including me in this important story in Forbes. I'll share the full link in my comments.",https://www.linkedin.com/posts/reshma-saujani_its-true-nearly-all-the-job-losses-in-last-activity-7417574341678272514-UxnK?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB40j2AB3M_cnrZLTeoRKiTiCjqBS_y8xgQ
Reshma Saujani,reshma-saujani,2026-01-12T03:01:43.096Z,560,9,20,linkedinVideo,"Love EJAE's words on failure!

“Rejection is redirection” 👊 

#Golden #GoldenGlobes #KPopDemonHunters",https://www.linkedin.com/posts/reshma-saujani_golden-goldenglobes-kpopdemonhunters-activity-7416313400403726336-BNoC?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAB7gKtAB2g4oHA8yJY0VljOb7bPdVFl3jU4
Reshma Saujani,reshma-saujani,2025-10-31T14:28:44.607Z,485,53,32,linkedinVideo,"Marriage is now a luxury good, explains The Wharton School economist, Corinne Low.

Corinne's new book, Having It All, is out now. We dive into it and the economics of marriage and women's lives on my podcast, My So-Called Midlife, this week!",https://www.linkedin.com/posts/reshma-saujani_marriage-is-now-a-luxury-good-explains-the-activity-7390031981763272705-HfaK?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADpvVoYBUx2AZFR---ZdAR9LHeZnQHPr4i4
Reshma Saujani,reshma-saujani,2025-12-14T18:02:13.545Z,525,9,20,image,🖤,https://www.linkedin.com/posts/reshma-saujani_activity-7406030772429627393-yKDE?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADQ_LHkB2V_Pv_5w1EehW46rK8xbW3kA2r8
Reshma Saujani,reshma-saujani,2025-11-13T17:15:03.117Z,501,26,31,linkedinVideo,"A few years ago, I gave a speech at Bill Gates's Summit. I was slotted between Bill Gates and Warren Buffett. Here's what I learned.

(Video: Throwback to my episode of Steven Bartlett's Diary of a CEO)",https://www.linkedin.com/posts/reshma-saujani_a-few-years-ago-i-gave-a-speech-at-bill-activity-7394784876920516608-WyqF?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8g_d4BGgZxQ4CpVaBEYFZUA5xzoL9hj_I
