authorName,authorProfileId,postedAtISO,numLikes,numComments,numShares,type,text,url
Fidji Simo,fidjisimo,2025-12-11T18:25:04.394Z,2113,129,98,article,"GPT-5.2 is here and it’s the best model out there for everyday professional work.

On GDPval, the thinking model beats or ties human experts on 70.9% of common professional tasks like spreadsheets, presentations, and document creation. It’s also better at general intelligence, writing code, tool calling, vision, and long-context understanding so it can unlock even more economic value for people.

Early feedback has been excellent and I can’t wait for you to try it:",https://www.linkedin.com/posts/fidjisimo_introducing-gpt-52-activity-7404949358590373888-Rmdy?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
Fidji Simo,fidjisimo,2025-08-28T16:30:20.979Z,2118,94,20,article,"Grateful to be on the TIME 100 AI list; in my interview, I talk about how I want to guide the deployment of AI to be maximally useful to people while mitigating its inherent risks.",https://www.linkedin.com/posts/fidjisimo_the-100-most-influential-people-in-ai-2025-activity-7366869761567182849-skGB?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE
Fidji Simo,fidjisimo,2025-08-05T17:00:04.314Z,1961,126,34,article,"Last month I gave an update on the journey I’ve been on to find cures for complex chronic conditions like the ones I suffer from. Today, I’m thrilled to announce that we’re launching ChronicleBio — a company entirely dedicated to building the world’s best data platform on neuroimmune conditions like POTS, ME-CFS and Long COVID, that affect 250+ millions of people.

I’m honored to be co-founding ChronicleBio with Rohit Gupta and Rishi Reddy, who are the ones running the business full-time. The three of us are patients and caregivers in this space, so we have deep personal commitment to the mission.

For most conditions, like cancer or Parkinson's, critical datasets already exist and have massively accelerated the path to drugs. But for neuroimmune conditions, these datasets are sorely missing, making it hard for biotech and pharma to invest in developing drugs.

The advances we’re seeing in AI make me more confident than ever that we’re on the cusp of being able to cure these diseases. But powerful models alone aren’t enough — we also need rich, high quality, deeply-analyzed biological data that these AI models can be trained or deployed on.

ChronicleBio is here to provide exactly that.
We are bringing together providers, pharma and patients to generate the world’s largest and deepest multi-modal data set for our patient population, with the goal of surfacing new biological patterns, building biomarkers, and ultimately accelerating the path to diagnostics and treatments.

Within months we have already begun launching clinical partnerships, building a scalable data ingestion engine and biobanking infrastructure, generating brand awareness with relevant patient advocacy groups, generating revenue with pharma via a decentralized clinical trial network and assembling a world class mission-oriented team of AI technologists, scientists and healthcare leaders.

This work is personal. Behind every sample we collect, there is a patient suffering, fainting in random places, stuck in bed for years, or living with relentless, invisible symptoms. These conditions are profoundly debilitating — and yet there are still no validated biomarkers, no diagnostics, no cures. That is unacceptable.

This is a long road, but like I’ve said before: I will not rest until these conditions are eradicated. In the meantime, the team at ChronicleBio will build the data infrastructure that will make tomorrow’s cures possible, faster.",https://www.linkedin.com/posts/fidjisimo_chroniclebio-ai-powered-data-platform-for-activity-7358542320507478018-Visz?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE
Fidji Simo,fidjisimo,2026-01-07T19:00:02.548Z,1877,125,66,article,The launch of ChatGPT Health is really personal for me. I know how hard it can be to navigate the healthcare system (even with great care). AI can help patients and doctors with some of the biggest issues. More here: https://lnkd.in/gq63gtAp,https://www.linkedin.com/posts/fidjisimo_chatgpt-health-and-what-ai-can-do-for-a-broken-activity-7414742631257350144-dV4W?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
Fidji Simo,fidjisimo,2025-05-28T13:21:28.368Z,1875,34,13,article,"I’m excited to share that Chris Rogers  will become Instacart’s next CEO on August 15!

Working closely with Chris over the last four years, I’ve seen his exceptional work ethic and decision making firsthand. Because everything we do is in partnership with our retail and brand partners, there isn’t a single thing we’ve done in the last few years that Chris hasn’t had his fingerprints on. From our retail enablement strategy and omnichannel expansion to the massive growth and evolution of our advertising platform, Chris has been a driving force behind all of these initiatives. I look forward to continuing to work with him as I stay on as board chair. 

I truly believe Instacart is still just getting started and I know Chris and our leadership team will carry our mission forward and take us to even greater heights. Congratulations Chris!",https://www.linkedin.com/posts/fidjisimo_leadership-update-a-letter-from-fidji-simo-activity-7333482545516347392-zdFr?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAE8SUUgBx-GWgM3RlL9OxgG4agNJ3pLcPEE
Fidji Simo,fidjisimo,2025-11-05T16:00:03.579Z,1672,111,85,article,"Over 1 million business customers are now using OpenAI, the fastest-growing business platform in history.

AI is a tool of abundance. The most successful businesses use AI to multiply, not just cut. They’re launching new products faster and tackling many more great ideas that would have fallen below the line in the past. Let's build:",https://www.linkedin.com/posts/fidjisimo_why-the-best-companies-will-use-ai-to-multiply-activity-7391866901565472768-lGlf?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjBloEBCoRBULr0MiXfwMUhIt-tIPpF5F8
Fidji Simo,fidjisimo,2025-11-12T19:00:03.271Z,1671,75,50,article,"We're launching GPT-5.1, a great new model that we think people are going to like a lot more than 5. But with hundreds of millions of people using ChatGPT, one default personality won’t work for everyone. The new presets and improved custom instructions should make it easier for people to really make ChatGPT their own. I wrote more about how we’re moving beyond one-size-fits-all.
https://lnkd.in/g3N8c_Rt",https://www.linkedin.com/posts/fidjisimo_moving-beyond-one-size-fits-all-activity-7394448913816088576-IbCj?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAFjBloEBCoRBULr0MiXfwMUhIt-tIPpF5F8
Fidji Simo,fidjisimo,2025-05-20T03:50:45.640Z,1579,42,16,image,"What a surreal moment to see Instacart studied in a Harvard Business School classroom today! Hearing lots of smart students debating decisions we made for the last four years was such a fascinating experience. One of the most rewarding parts was seeing the principles we’ve built the company on reflected so clearly in the HBS case (which will publish soon!). “Grow the pie” isn’t just something we say; it’s a core mindset that shapes how we operate at every level. 

Thank you, Harvard Business School, Leonard Schlesinger and Hubert Joly for sharing our story. And thank you to the entire Instacart team — your work is what made it a story worth telling!",https://www.linkedin.com/posts/fidjisimo_what-a-surreal-moment-to-see-instacart-studied-activity-7330439818180485120-kgAK?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAADEuMPsBItO1Ss0Do7bk9itVdUQhkJsHebI
Fidji Simo,fidjisimo,2025-12-16T18:05:39.558Z,1538,73,11,image,Launching a new imagegen model and creation tool in ChatGPT today! It’s been so fun to play with it. More here: https://lnkd.in/gFKch7_s,https://www.linkedin.com/posts/fidjisimo_launching-a-new-imagegen-model-and-creation-activity-7406756412242116608-6RJQ?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
Fidji Simo,fidjisimo,2026-01-16T18:28:15.041Z,1224,219,80,article,Sharing our principles for how we will approach ads in ChatGPT before we start testing in the U.S. in the coming weeks. Most importantly: ads will not influence the answers ChatGPT gives you.,https://www.linkedin.com/posts/fidjisimo_our-approach-to-advertising-and-expanding-activity-7417996121383374848-F6VD?utm_source=combined_share_message&utm_medium=member_desktop&rcm=ACoAAAZHa_MBjyPSifUwtJTumM7WvyEQp1ka14g
